STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2021-07-13,25.375797872340424,20.365957446808512,30.38563829787234,2.189246119733925,80.1069898938602,7.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
NC,2021-07-14,25.1836898395722,20.205882352941178,30.161497326203207,1.5465831435079729,78.40006756623329,6.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-15,25.77717391304348,20.309239130434783,31.262162162162163,3.437792642140468,78.00701628806523,15.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
NC,2021-07-16,26.267379679144383,20.7572192513369,31.794680851063827,0.7833906071019473,77.33441788269957,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2021-07-17,26.55760869565217,21.14945652173913,31.978918918918914,1.1114888628370458,77.65631416392907,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
NC,2021-07-18,26.00378378378378,20.883783783783784,31.13548387096774,4.759382151029748,82.10444506242641,15.0,2.0,21.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-19,24.031720430107526,19.936021505376345,28.127419354838707,19.99619047619048,91.2491181194607,20.0,1.0,18.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-20,22.955135135135134,19.156451612903226,26.764324324324324,17.0018085106383,83.45718320409163,22.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-21,23.72566844919785,18.785561497326203,28.663829787234043,1.5305869074492098,77.75369619807029,20.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
NC,2021-07-22,24.5675,19.08333333333333,30.08186813186813,0.2868298368298368,75.84025291989074,19.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0
NC,2021-07-23,24.142287234042552,18.40585106382979,29.87936507936508,0.6413990825688073,74.0757298788364,14.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
NC,2021-07-24,24.068378378378377,18.456216216216216,29.68548387096774,0.6485311398354876,74.72180789289156,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
NC,2021-07-25,24.811827956989248,19.35698924731183,30.27553191489362,2.961583236321304,76.52098649531538,9.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-26,25.86081081081081,20.6145945945946,31.10430107526881,1.7537834691501746,80.73227346790205,16.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0
NC,2021-07-27,26.154278074866312,20.65187165775401,31.66276595744681,14.301582278481012,81.49833569395243,21.0,1.0,23.0,0.0,0.0,0.0,2.0,1.0
NC,2021-07-28,26.03655913978495,20.217741935483872,31.8622340425532,4.576174496644295,80.88071740502073,14.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0
NC,2021-07-29,25.640740740740743,18.81851851851852,32.455789473684206,5.086123348017621,77.59018683999567,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2021-07-30,26.83803191489362,20.98617021276596,32.68989361702128,0.151907514450867,75.58775013536626,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
NC,2021-07-31,26.574175824175825,21.04230769230769,32.10983606557377,0.6607655502392344,77.97245119814801,15.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0
NC,2021-08-01,25.787704918032784,20.67267759562841,30.90273224043716,3.482163406214039,82.62817893801565,17.0,1.0,12.0,0.0,0.0,0.0,7.0,0.0
NC,2021-08-02,24.034574468085108,18.62712765957447,29.442021276595742,9.871969696969698,77.31495151193172,22.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0
NC,2021-08-03,22.46864864864865,18.398924731182795,26.54108108108108,4.981526548672567,83.85619387026645,15.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
NC,2021-08-04,21.37027027027027,18.034054054054057,24.706486486486487,26.168137782561896,85.83274195430943,14.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0
NC,2021-08-05,21.94251336898396,17.519251336898396,26.373404255319148,3.4183050847457626,77.16145855588601,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-08-06,22.46967213114754,16.829508196721314,28.115135135135137,0.7376294591484465,81.08492803747764,17.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-08-07,23.19189189189189,18.39837837837838,27.9951871657754,8.34015401540154,88.54743430033763,19.0,2.0,15.0,0.0,0.0,0.0,2.0,0.0
NC,2021-08-08,23.4727027027027,17.885945945945945,29.07712765957447,11.262757871878392,79.96883351110348,30.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0
NC,2021-08-09,24.513513513513512,18.43135135135136,30.5983870967742,0.4453488372093023,77.52353505362653,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
NC,2021-08-10,25.74243243243244,19.92864864864865,31.55967741935484,1.0316989737742304,79.25716671946573,18.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0
NC,2021-08-11,26.725405405405404,20.96918918918919,32.48162162162162,2.198306997742664,79.10141331751252,13.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0
NC,2021-08-12,27.12311827956989,21.363440860215054,32.88502673796791,2.323375142531357,78.09535486872801,16.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0
NC,2021-08-13,27.15106951871658,21.340106951871658,32.98359788359788,1.5272101033295065,77.31093805198873,8.0,1.0,16.0,0.0,1.0,0.0,1.0,2.0
NC,2021-08-14,27.06639784946237,21.32365591397849,32.82085561497326,2.0471563981042653,79.19186487351243,12.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0
NC,2021-08-15,26.124728260869563,20.8125,31.45297297297297,7.663501144164759,85.55248697731379,15.0,2.0,23.0,0.0,0.0,0.0,3.0,0.0
