STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-07-20,20.69041095890411,0.5369272237196766,39.92474863014173,11.673569482288828,29.670460704607045,5.0,0.0,30.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-07-21,19.24972144846797,6.367112509834776,54.887620752220414,10.20027700831025,28.303030303030305,8.0,0.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CO,2019-07-22,18.91856368563685,4.542926434923202,58.0089036320769,10.980913978494623,26.817886178861787,10.0,1.0,43.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
CO,2019-07-23,18.402617079889808,1.628748964374482,56.9711954458919,10.153825136612022,26.62301369863013,3.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-24,19.32109589041096,0.8880662020905923,50.60118503660095,10.937057220708446,27.661475409836065,2.0,0.0,31.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-25,19.24269972451791,1.9866504854368927,57.52587948547685,11.646994535519124,26.8,4.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-26,18.76173184357542,2.3700411522633744,60.646112185917,11.233795013850417,26.24083333333333,3.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-27,18.73430555555556,1.5997373029772328,58.18456837977819,11.208839779005524,26.23232044198895,4.0,0.0,32.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-28,18.68091922005571,2.739783152627189,55.39272062051919,10.920221606648198,26.383746556473827,5.0,1.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-07-29,18.8550139275766,0.18898756660746,46.41790968572932,9.92361111111111,27.76906077348066,0.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
